index,preprocessedText
0,
1,urther inform thi subject avail ut health
2,urther inform thi subject avail ut health
3,urther inform thi subject avail ut health
4,urther inform thi subject avail ut health
5,subject may place a student program go exchang for detail contact ut scienc
6,subject may place a student program go exchang for detail contact ut scienc
7,subject may place a student program go exchang for detail contact ut scienc
8,subject may place a student program go exchang for detail contact ut scienc
9,subject may place a student program go exchang for detail contact ut scienc
10,further detail contact ut intern studi
11,further detail contact ut intern studi
12,subject descript contact ut intern studi
13,subject descript contact ut intern studi
14,subject may place a student program go exchang for detail contact ut scienc
15,subject may place a student program go exchang for detail contact ut scienc
16,subject may place a student program go exchang for detail contact ut scienc
17,further inform contact haymarket student centr
18,further inform contact haymarket student centr
19,further inform contact haymarket student centr
20,further inform contact haymarket student centr
21,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
22,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
23,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
24,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
25,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
26,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
27,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
28,subject use purpos enrol student particip the ut global exchang program the program offer student the opportun complet one two session studi an intern exchang partner institut receiv credit toward cours ut applic must their studi the partner institut approv the faculti prior enrol thi subject
29,subject introduc student multidisciplinari field forens taphonomi taphonomi refer studi organ remain the time death the time discoveri forens taphonomi investig the physic chemic biolog process human anim decomposit associ evid student gain understand the effect environment variabl the process decomposit conduct search recoveri decompos remain forens taphonomi encompass broad rang disciplin thi subject includ topic decomposit chemistri entomolog anthropolog archaeolog geolog geophys ecolog At complet the subject student a greater understand the interdisciplinari natur search recoveri investig the multitud disciplin avail investig decompos skelet remain locat they also learn reflect the valu ethic bodi farm facil use research and polic advanc the knowledg base forens taphonomi As part thi subject student visit the australian facil taphonom experiment research
30,n subject student experi full rang practition respons the supervis clinic manag practition regist the chine medicin board australia ahpra thi area train accomplish the premis the patient clinic the univers provid specif student clinic set day the week the student also the option undertak part final year clinic internship oversea china korea ut approv institut oversea placement provid student further direct learn the differ cultur societ dimens health care it practic similar rang clinic context would experienc australia student also expect undertak reflect task evidenc their learn appreci health care chine medicin may includ a seri tutor peer review case analys a learn contract a specialti area the student own choos
31,n subject student appli full rang practition respons case interview manual digit record keep examin a pul tongu channel palpat formul diagnosi execut treatment plan under the supervis the clinic supervisor clinic train roster conduct campu the ut chine medicin clinic provid a low cost servic the public
32,pproxim 30 per cent the undergradu train program devot gain clinic experi prepar becom qualifi tradit chine medicin tcm practition the subject split two modul
33,subject compris seri lectur workshop
34,subject extend student knowledg chine medicin fundament substanc their physiolog channel system compon function It build stage 1 subject especi regard physiolog substanc system gener pattern dysfunct the principl chine dietet explor the neij lingshu introduc basic dietari principl acupunctur point function indic appli basic pattern disord the subject cover the basic how regul intern system utilis channel physiolog the clinic practic chine medicin
35,subject introduc basic theoret concept chine medicin provid broad foundat subject area are built throughout chine medicin degre the basic theori present thi subject underpin aspect chine medicin theori practic
36,clinic subject provid student tradit chine medicin tcm knowledg femal male reproduct disord gener surgic diseas skin diseas the subject also enabl student understand key clinic featur current therapi these diseas western medicin after determin tcm appropri patient condit student differenti the pattern disharmoni identifi tcm decid the treatment principl devi cours treatment
37,iseas state tradit chine medicin tcm 1 a clinic subject student learn integr knowledg western chine medicin most common diseas tcm intern medicin thi subject focus knowledg skill diagnosi integr laboratori radiolog find relev tcm pattern differenti current therapi western chine medicin includ acupunctur chine herbal medicin relev natur approach
38,subject continu expand theori chine herbal formula taught 99651 chine herbal formula 1 includ formul composit combin appropri individu medicin substanc their clinic applic the subject also continu develop theoret basi the variou prepar chine medicin dispens known pao zhi pao zhi theori first introduc 99567 introduct chine herbal medicin taken in 99651 chine herbal formula 1 thi subject extend the student understand applic pao zhi the safe prepar administr chine medicin substanc
39,subject investig analys initi theori chine herbal formul composit combin appropri individu herb regul their clinic applic thi subject also continu develop the theoret basi the variou prepar chine herbal substanc dispens known pao zhi thi follow from the pao zhi theori taught 99567 introduct chine herbal medicin
40,subject utilis latest research chine herbal medicin student provid up date scientif knowledg commonli use tradit chine medicin herb includ botan descript activ constitu pharmacolog action therapeut use advers effect toxic therapeut good administr tga regulatori statu applic the interact chine herb orthodox drug also discus
41,subject divid three modul
42,pproxim 30 per cent the undergradu program devot gain clinic experi prepar becom qualifi tradit chine medicin practition thi subject continu clinic placement learn modul 1 extend acupunctur theori practic skill modul 2
43,pproxim 30 per cent undergradu train program devot gain clinic experi prepar becom qualifi tradit chine medicin tcm practition thi subject build upon basic diagnost concept alreadi cover especi four method diagnosi si zhen combin with biomed principl involv orthopaed ass the subject includ program stage 4 clinic learn experi prepar compris the follow
44,subject compris seri lectur workshop clinic placement lectur class activ develop clinic critic think skill develop compet a rang treatment skill techniqu includ relat acupunctur tuina other manual therapi a cup gua sha clinic placement undertaken the ut chine medicin outpati clinic work collabor the practition supervisor in the deliveri chine medicin health care
45,multi modular workshop base subject cover locat depth action special precaut contra indic the major acupunctur point It also cover variou aspect radiograph examin
46,nderstand basic process diseas form import foundat ani health profession thi subject studi essenti element diseas process studi within context some commonli occur disord diabet It serv a an introduct physiolog process the diseas state system studi includ cardiovascular endocrin musculoskelet gastrointestin kidney bodi fluid respiratori reproduct nervou system cancer the subject provid a broad understand fundament health issu can appli variou health set the student face their profession career
47,n multi modular subject clinic academ student appli full rang practition respons case interview manual digit record examin a pul tongu channel palpat formul a diagnosi execut treatment plan under guidanc a clinic supervisor clinic train roster conduct campu the ut chine medicin clinic provid low cost servic the public limit extern specialti practic oncolog avail concord hospit those interest abl fulfil the nsw health department requir
48,n multi modular subject clinic academ student appli full rang practition respons case interview manual digit record examin a pul tongu channel palpat formul a diagnosi execut treatment plan under guidanc a clinic supervisor clinic train roster conduct campu the ut chine medicin clinic provid low cost servic the public limit extern specialti practic oncolog avail concord hospit those interest abl fulfil the nsw health department requir
49,subject constitut larg compon essenti skill knowledg requir tradit chine diagnosi the subject workshop underpin clinic experi the student the differenti diseas state thi subject hone the essenti skill knowledg intern zangfu extern pathogen diagnost student expect work close togeth group task within canva in class time practis develop clinic reason diagnost skill
50,subject provid deeper understand object applic therapeut conclus inher tradit chine medicin diagnost system In addit the subject develop the basic knowledg process clinic reason within diagnost framework It provid practic workshop advanc pul diagnosi complement student theoret work
51,subject provid introductori inform basic properti function chine herbal substanc form essenti foundat second third year subject 99651 chine herbal formula 1 99652 chine herbal formula 2 99650 pharmacolog chine herbal medicin the object thi subject includ recognit safe use commonli use herb chine materia medica student learn nomenclatur properti indic contraind combin usag well herbal substanc process pao zhi herb drug interact toxicolog thi subject also introduc the regul guidelin restrict substanc a the cite tga cmba restrict guidelin
