index,preprocessedText
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,understand appli principl learnt lectur the search recoveri victim remain develop search strategi abl modifi strategi new evid becom avail systemat locat recov decompos remain use resourc avail the search team recognis recov associ evid could be import the investig understand the impact the environ taphonom chang reflect the import ethic work human remain particularli bodi farm develop written visual oral commun skill convey inform diver audienc e g academ polic court etc demonstr plan organis skill teamwork collabor activ engag reflect feedback includ self peer ass develop life long skill their profession career
30,
31,appli scientif methodolog treatment outcom evid base practic appli rang technic person practic profession skill appropri ethic way within chine medicin context demonstr quantit graphic literaci skill analys critic revis treatment process base current or desir outcom engag self reflect commun appropri english languag demonstr profession academ english write skill demonstr abil think work creativ self start understand applic scientif skill unfamiliar situat
32,appli effect profession commun skill a clinic set select appli simpl symptomat treatment appli energ balanc techniqu basi gener pul discrimin demonstr practic skill basic needl insert manipul moxibust techniqu cup applic dermal hammer scrape use prismat needl defin demonstr principl tonif sedat placement manipul needl appli knowledg procedur reduc potenti risk harm advers event needl point appli chine manual therapi differ bodi region defin the energ action major point demonstr the clinic integr applic inform prior subject identifi the key featur the jing luo pathway acupunctur point comment their practic applic
33,describ appli reflect knowledg compli fundament legal respons regist chine medicin practition includ inform consent duti care patient colleagu privaci confidenti mandatori report notif report advers event fit practic demonstr profession it relat valu ethic engag patient fellow student practition charg clinic supervisor describ appli current infect prevent control guidelin other guidelin issu issu the chine medicin board australia relev the safe practic acupunctur manual therapi correctli describ appli pul palpat techniqu the radial arteri ass variat the pul paramet note relev the chine medicin health framework describ appli knowledg the legisl requir regard patient record other practic document learn commun work effect a member a team access appli evid research clinic literatur inform improv the safeti qualiti clinic practis includ strategi avoid advers event and near miss
34,understand appli chine medic physiolog regard vital substanc qi xue jiny channel collater jingluo cmba 6 5 4 6 6 1 6 7 15 identifi differenti role zangfu jingluo system the physiolog qi xue jiny cmba 6 5 4 6 6 9 6 7 15 understand chine dietari principl applic chine medicin physiolog cmba 6 6 13 6 7 15 identifi the specif function the jingluo compon their relat the gener system cmba 6 5 4 6 6 14 identifi major point point group understand their main physiolog channel function cmba 6 6 1 6 6 9 understand differenti the gener patholog affect qi xue jiny the patholog specif the jingluo system it compon cmba 6 5 4 6 6 1 formul basic treatment principl address patholog chang affect qi xue jiny the jingluo system it compon cmba 6 5 4 6 6 1 devi basic dietari strategi develop point prescript correspond treatment principl cmba 6 6 9 6 6 14
