index,preprocessedText
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,appli demonstr expertis chine medicin classic contemporari theori research clinic health practic support patient health wellb 1 1 appli develop effect problem focus ass skill differenti diseas pattern appli clinic reason make diagnost therapeut judgement 2 1 appli demonstr integr applic profession health care knowledg clinic skill safe ethic practis chine medicin 3 1 appli demonstr high level write read speak english an abil engag construct convers health stakehold includ commun health disciplin polici maker 5 1
33,appli demonstr expertis chine medicin classic contemporari theori research clinic health practic support patient health wellb 1 1 appli develop effect problem focus ass skill differenti diseas pattern appli clinic reason make diagnost therapeut judgement 2 1 analys evalu critic ass research clinic trial cultiv inform evid base approach clinic practic 2 2 synthesis consolid scientif evid impact inform inquiri transit outcom inform support commun health care practic 2 3 appli demonstr integr applic profession health care knowledg clinic skill safe ethic practis chine medicin 3 1 analys critic review relev polici legisl code conduct appli profession practic support monitor qualiti health care deliveri 3 2 analys investig evalu clinic experi research reflect enhanc clinic practic 4 2 appli demonstr high level write read speak english an abil engag construct convers health stakehold includ commun health disciplin polici maker 5 1 synthesis engag proactiv commun medium includ social onlin medium platform provid factual evid base chine medicin disciplinari knowledg support qualiti health care deliveri patient commun and other health disciplin 5 3
34,
35,appli demonstr expertis chine medicin classic contemporari theori research clinic health practic support patient health wellb 1 1 synthesis integr inform data inform health care deliveri monitor outcom support patient commun 1 3 appli develop effect problem focus ass skill differenti diseas pattern appli clinic reason make diagnost therapeut judgement 2 1 appli demonstr the abil make clinic judgement decis base avail evid practic 4 1 synthesis integr method inquiri deriv data reflect inform adapt innov differ chang industri 4 3 appli demonstr high level write read speak english an abil engag construct convers health stakehold includ commun health disciplin polici maker 5 1
36,
37,
38,appli demonstr expertis chine medicin classic contemporari theori research clinic health practic support patient health wellb 1 1 appli develop effect problem focus ass skill differenti diseas pattern appli clinic reason make diagnost therapeut judgement 2 1 appli demonstr integr applic profession health care knowledg clinic skill safe ethic practis chine medicin 3 1 appli demonstr abil make clinic judgement decis base avail evid practic 4 1 appli demonstr high level write read speak english an abil engag construct convers health stakehold includ commun health disciplin polici maker 5 1
39,appli demonstr expertis chine medicin classic contemporari theori research clinic health practic support patient health wellb 1 1 synthesis integr inform data inform health care deliveri monitor outcom support patient commun 1 3 appli develop effect problem focus ass skill differenti diseas pattern appli clinic reason make diagnost therapeut judgement 2 1 appli demonstr integr applic profession health care knowledg clinic skill safe ethic practis chine medicin 3 1 synthesis navig the relat busi legal social ethic landscap practic differ context appli principl qualiti assur risk manag maintain improv profession safeti 3 3 synthesis integr method inquiri deriv data reflect inform adapt innov differ chang industri 4 3 appli demonstr high level write read speak english an abil engag construct convers health stakehold includ commun health disciplin polici maker 5 1
40,
41,
